,afternoon_laboratory_bowl,morning_laboratory_computer,morning_laboratory_bowl,morning_laboratory_phone,morning_laboratory_bed,midnight_laboratory_bed,evening_laboratory_bed,evening_laboratory_phone,evening_laboratory_bowl,evening_laboratory_computer,afternoon_laboratory_computer,afternoon_laboratory_book,morning_laboratory_book,afternoon_laboratory_phone,evening_laboratory_book
afternoon_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.3397256598514,0.0,0.0,110.21309094060481,0.0
morning_laboratory_computer,233.32919777320242,0.0,0.0,132.1938503298247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bowl,0.0,232.99703548141196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.71836366370007,121.21326133776648,0.0,0.0
morning_laboratory_phone,115.29499217626044,111.41178632276295,243.00371041571702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morning_laboratory_bed,0.0,0.0,0.0,247.30812276107307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midnight_laboratory_bed,0.0,0.0,0.0,0.0,239.11706423726042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bed,0.0,0.0,0.0,0.0,0.0,246.63729264700214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,238.03578710580655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
evening_laboratory_bowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.65289174448682,0.0,173.68830164359366,0.0,0.0,0.0,0.0,116.40171685589529
evening_laboratory_computer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.2679415297448,127.8720103947474,0.0,0.0,0.0,0.0,0.0,101.57403043636623
afternoon_laboratory_computer,0.0,0.0,124.90039911929387,0.0,0.0,0.0,0.0,0.0,167.73916175032616,0.0,0.0,115.85167227981964,0.0,178.06517656112538,0.0
afternoon_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.3774571187437,0.0,0.0,0.0,0.0
morning_laboratory_book,0.0,115.0325042157334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afternoon_laboratory_phone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.70972131477276,0.0,143.26287353989989,103.31207655868397,0.0,0.0,0.0
evening_laboratory_book,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.63868288313844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
